event_date,event_timestamp,event_name,user_pseudo_id,session_id,geo_country,geo_city,device_category,traffic_source_medium,traffic_source_source,traffic_source_name,page_location,event_value_in_usd,ga_session_number,is_active_user,platform
20240328,1775899990489377,add_to_cart,user_00423,,,Johannesburg,Desktop,Direct,,,/checkout,,42,,IOS
20240402,1778190639468183,purchase,user_00762,1141713,,,DESKTOP,,,Brand_SA_Q1,/,,48,false,web
2024-06-14,1738490765246851,begin_checkout,user_00665,6319299,rsa,Cape Town,tablet,Social,bing,Awareness_Display_ZA,/thankyou,,27,True,Web
2024-11-27,1796423976768024,search,user_00516,1571470,,,tablet,Organic Search,Google,Black Friday 2024,,90.94,14,0,
2024-05-05,1768808570817100,click,user_00584,5781944,za,Pretoria,DESKTOP,paid search,,,/products,,43,TRUE,
10-10-2024,1721986799886219,page_view,user_00429,6777598,ZA,Pretoria,DESKTOP,,facebook,,,,24,1,
,1780109435439884,purchase,user_00578,9898701,ZA,,,email,,Black Friday 2024,/thankyou,915.45,18,false,WEB
21/03/2024,1708149579368725,begin_checkout,user_00235,8554632,RSA,,MOBILE,Display,,,/products,855.32,27,false,
,,scroll,user_00764,7421433,RSA,Pretoria,Tablet,email,GOOGLE,brand_sa_q1,/checkout,,0,False,web
,1750042689542961,scroll,user_00511,8593054,RSA,Johannesburg,,direct,,Black Friday 2024,,,9,False,Web
2024-12-07,1769705752606413,,user_00318,6939148,,Pretoria,Desktop,ORGANIC_SEARCH,facebook,Awareness_Display_ZA,/thankyou,710.92,11,,ANDROID
,1787235340182146,,user_00773,,south africa,Durban,,ORGANIC_SEARCH,bing,black friday,/checkout,186.05,1,FALSE,ANDROID
"August 01, 2024",1794909536833346,scroll,user_00109,6823195,za,Durban,,,google,,/,923.1,29,TRUE,WEB
2024-11-20,1736528167452297,login,user_00259,5766999,za,,Mobile,Paid Search,,,/thankyou,,16,,ANDROID
"June 25, 2024",1790104241449735,video_start,user_00070,8850362,RSA,,Mobile,paid search,(direct),black friday,,78.49,21,False,
"July 05, 2024",1785705647585608,purchase,user_00485,9409547,RSA,,,organic search,facebook,Brand_SA_Q1,/,165.02,2,false,IOS
