date,customer_id,campaign_id,campaign_name,campaign_status,ad_group_id,impressions,clicks,cost_micros,conversions,conversion_value,currency_code,device,network
03-07-2024,2330333692,386267,brand_sa_q1,REMOVED,537725,3398,52,338138553,2.17,1959.93,ZAR ,Desktop,YOUTUBE
,6025080258,297987,BRAND SA Q1,REMOVED,746634,81621,650,2012988205,43.26,4819.17,ZAR	,Mobile,SEARCH
"December 25, 2024",4218633310,665879,retargeting lapsed,PAUSED,432875,28055,2063,28998183470,15.92,,zar,tablet,display
12/12/2024,6806567275,247762,Retargeting_Lapsed,,875430,55751,2196,20483586210,61.84,,usd,,YOUTUBE
2024-12-11,3909167617,606507,brand_sa_q1,enabled,981341,56671,3283,42729218873,16.01,1269.96,ZAR	,Mobile,display
2024-07-25,1187671974,177487,black friday,PAUSED,632370,269,10,140519097,,242.07,ZAR,DESKTOP,DISPLAY
20240208,4130736842,338059,retargeting lapsed,ENABLED,229210,37062,3705,48229797420,63.89,,,mobile,search
20240510,2821013449,843388,BRAND SA Q1,paused,215995,92764,3919,57026165817,220.26,341.64,ZAR ,,display
2024-07-15,4773697782,640387,,paused,54759,53312,2626,13998491344,28.68,,usd,,display
14-10-2024,3290252734,884156,Black Friday 2024,enabled,537919,33909,2168,,131.05,2559.21,ZAR ,desktop,DISPLAY
20240813,8588386488,746416,retargeting lapsed,,313759,17383,6,68337975,0.18,,USD,Mobile,search
2024-08-16,1898060505,517257,UNKNOWN,,522729,64907,2733,29259384333,235.68,,ZAR ,Mobile,youtube
"December 19, 2024",7162364530,400365,Black Friday 2024,,547044,18632,853,8980566080,79.8,,,DESKTOP,youtube
"July 04, 2024",7253974095,102782,Brand_SA_Q1,,495291,82932,6407,,150.39,3016.88,ZAR,Mobile,SEARCH
,4791560732,729991,black friday,REMOVED,469224,5069,173,295597212,15.19,1464.63,ZAR,,SEARCH
04/12/2024,7195043987,178587,Awareness_Display_ZA,enabled,299145,93117,5295,57500342322,493.46,1148.15,ZAR ,,youtube
20240106,9171077808,929246,UNKNOWN,PAUSED,326559,12318,792,10592841488,76.79,,ZAR,Desktop,SEARCH
"October 20, 2024",6858671243,283667,BRAND SA Q1,enabled,423105,59576,587,4216627417,51.37,3552.95,ZAR ,tablet,search
20240822,1802815315,290003,,paused,401586,86760,1991,11734296886,45.16,2600.49,usd,Mobile,search
,7751443943,928308,Brand_SA_Q1,,971067,6530,221,1337421682,,2082.7,,tablet,DISPLAY
2024-03-17,2868725623,757477,Black Friday 2024,ENABLED,540844,5496,207,2523815649,15.86,442.32,zar,tablet,DISPLAY
14/09/2024,4583861753,137735,Black Friday 2024,enabled,239870,99990,7218,26630781857,158.24,382.15,,mobile,SEARCH
2024-06-27,1095647672,629901,black friday,PAUSED,468848,1962,21,,1.66,4002.18,USD,DESKTOP,search
20240521,4320637252,634172,brand_sa_q1,,922199,35338,1841,12880777674,118.09,3653.0,zar,desktop,search
23-04-2024,1355493795,941684,,,264959,59043,2421,7195678527,13.48,,zar,DESKTOP,
