customer_id,first_seen_date,province,city,customer_segment,consent_status,_source_note
CUST-000001,2024-01-09,Western Cape,Stellenbosch,Returning,denied,source_export
CUST-000002,2024-04-28,Western Cape,Paarl,Returning,granted,source_export
CUST-000003,2024-06-30,Western Cape,Stellenbosch,New,granted,source_export
CUST-000004,2024-03-12,Western Cape,Cape Town,New,granted,source_export
CUST-000005,2024-04-23,Western Cape,Stellenbosch,New,denied,source_export
CUST-000006,2024-01-18,Western Cape,Cape Town,New,granted,source_export
CUST-000007,2024-04-23,North West,Rustenburg,New,granted,source_export
CUST-000008,2024-02-14,Western Cape,Stellenbosch,Returning,denied,source_export
CUST-000009,2024-04-13,Free State,Bloemfontein,New,granted,source_export
CUST-000010,2024-02-20,KwaZulu-Natal,Pietermaritzburg,New,unknown,source_export
CUST-000011,2024-06-19,Western Cape,Cape Town,New,granted,source_export
CUST-000012,2024-05-26,Gauteng,Pretoria,New,unknown,source_export
CUST-000013,2024-04-18,Gauteng,Sandton,New,granted,source_export
CUST-000014,2024-06-21,Limpopo,Polokwane,Returning,granted,source_export
CUST-000015,2024-02-15,KwaZulu-Natal,Pietermaritzburg,New,denied,source_export
CUST-000016,2024-04-30,Eastern Cape,Gqeberha,New,granted,source_export
CUST-000017,2024-02-20,Eastern Cape,Gqeberha,Returning,denied,source_export
CUST-000018,2024-03-18,Gauteng,Pretoria,New,granted,source_export
CUST-000019,2024-01-20,Western Cape,Paarl,New,granted,source_export
CUST-000020,2024-05-28,North West,Rustenburg,New,granted,source_export
CUST-000021,2024-01-31,KwaZulu-Natal,Pietermaritzburg,Returning,granted,source_export
CUST-000022,2024-05-06,Gauteng,Pretoria,Returning,granted,source_export
CUST-000023,21/06/2024,Western Cape,Cape Town,Returning,granted,source_export
CUST-000024,2024-01-27,Western Cape,Paarl,New,denied,source_export
CUST-000025,2024-03-11,Western Cape,George,Lapsed Reactivated,granted,source_export
CUST-000026,2024-02-08,Western Cape,George,Returning,denied,source_export
CUST-000027,2024-06-24,Gauteng,Soweto,Returning,granted,source_export
CUST-000028,2024-04-18,Gauteng,Pretoria,New,granted,source_export
CUST-000029,2024-01-28,Western Cape,Stellenbosch,New,granted,source_export
CUST-000030,2024-04-16,Western Cape,Paarl,New,unknown,source_export
CUST-000031,2024-01-17,Western Cape,George,New,denied,source_export
CUST-000032,2024-02-09,Western Cape,Cape Town,Returning,granted,source_export
CUST-000033,2024-06-22,Western Cape,Paarl,New,granted,source_export
CUST-000034,2024-06-05,Gauteng,Soweto,Returning,granted,source_export
CUST-000035,2024-02-02,Northern Cape,Kimberley,New,granted,source_export
CUST-000036,2024-03-29,KwaZulu-Natal,Umhlanga,New,granted,source_export
CUST-000037,2024-01-31,Gauteng,Soweto,New,denied,source_export
CUST-000038,2024-05-24,Western Cape,George,New,granted,source_export
CUST-000039,2024-03-18,Free State,Bloemfontein,New,granted,source_export
CUST-000040,2024-04-14,Western Cape,Stellenbosch,Returning,denied,source_export
CUST-000041,2024-06-15,Limpopo,Polokwane,New,granted,source_export
CUST-000042,2024-03-30,Gauteng,Johannesburg,Returning,granted,source_export
CUST-000043,2024-06-07,Gauteng,Pretoria,New,granted,source_export
CUST-000044,2024-03-14,Gauteng,Soweto,New,granted,source_export
CUST-000045,2024-04-03,Gauteng,Soweto,New,granted,source_export
CUST-000046,2024-03-25,Limpopo,Polokwane,New,granted,source_export
CUST-000047,2024-04-21,Free State,Bloemfontein,New,granted,source_export
CUST-000048,2024-04-16,Gauteng,Sandton,New,granted,source_export
CUST-000049,2024-06-20,Gauteng,Johannesburg,New,granted,source_export
CUST-000050,2024-01-28,Western Cape,Cape Town,Returning,denied,source_export
CUST-000051,2024-04-07,Gauteng,Sandton,Returning,unknown,source_export
CUST-000052,2024-03-25,Western Cape,Cape Town,Lapsed Reactivated,denied,source_export
CUST-000053,2024-05-30,North West,Rustenburg,Lapsed Reactivated,granted,source_export
CUST-000054,2024-05-04,Gauteng,Soweto,Returning,granted,source_export
CUST-000055,2024-02-05,KwaZulu-Natal,Umhlanga,New,granted,source_export
CUST-000056,2024-04-21,Gauteng,Pretoria,New,granted,source_export
CUST-000057,2024-03-13,Gauteng,Soweto,Returning,unknown,source_export
CUST-000058,2024-02-13,Mpumalanga,Nelspruit,New,denied,source_export
CUST-000059,20/06/2024,KwaZulu-Natal,Pietermaritzburg,New,unknown,source_export
CUST-000060,2024-03-22,KwaZulu-Natal,Durban,Returning,granted,source_export
CUST-000061,2024-05-19,Gauteng,Soweto,New,granted,source_export
CUST-000062,2024-06-20,Western Cape,Paarl,New,granted,source_export
CUST-000063,2024-04-21,Gauteng,Pretoria,New,granted,source_export
CUST-000064,2024-05-16,Gauteng,Pretoria,New,denied,source_export
CUST-000065,2024-04-12,Gauteng,Sandton,Lapsed Reactivated,denied,source_export
CUST-000066,2024-01-12,Gauteng,Soweto,New,granted,source_export
CUST-000067,2024-04-30,Gauteng,Soweto,New,granted,source_export
CUST-000068,2024-01-05,KwaZulu-Natal,Durban,Lapsed Reactivated,granted,source_export
CUST-000069,2024-04-01,Gauteng,Johannesburg,Returning,granted,source_export
CUST-000070,2024-03-27,Western Cape,George,New,granted,source_export
CUST-000071,2024-01-16,Gauteng,Pretoria,VIP,granted,source_export
CUST-000072,2024-01-20,Western Cape,George,New,denied,source_export
CUST-000073,2024-06-12,Gauteng,Sandton,New,denied,source_export
CUST-000074,2024-04-29,Gauteng,Soweto,New,denied,source_export
CUST-000075,2024-02-29,Western Cape,Paarl,New,granted,source_export
CUST-000076,2024-01-18,Gauteng,Pretoria,New,granted,source_export
CUST-000077,2024-03-21,Gauteng,Sandton,New,granted,source_export
CUST-000078,2024-05-11,Gauteng,Sandton,New,granted,source_export
CUST-000079,2024-04-04,Gauteng,Johannesburg,New,granted,source_export
CUST-000080,2024-01-18,Western Cape,Paarl,Returning,granted,source_export
CUST-000081,2024-01-24,Gauteng,Johannesburg,Returning,granted,source_export
CUST-000082,2024-02-08,Limpopo,Polokwane,Returning,granted,source_export
CUST-000083,2024-02-02,Free State,Bloemfontein,Returning,granted,source_export
CUST-000084,2024-01-01,Mpumalanga,Nelspruit,New,denied,source_export
CUST-000085,2024-03-04,Western Cape,Cape Town,New,granted,source_export
CUST-000086,2024-05-17,KwaZulu-Natal,Durban,New,denied,source_export
CUST-000087,2024-02-21,Free State,Bloemfontein,Returning,granted,source_export
CUST-000088,2024-01-22,Gauteng,Sandton,New,granted,source_export
CUST-000089,2024-01-02,Western Cape,Cape Town,New,granted,source_export
CUST-000090,2024-04-16,Gauteng,Johannesburg,New,granted,source_export
CUST-000091,2024-02-29,Gauteng,Sandton,New,granted,source_export
CUST-000092,2024-05-09,Gauteng,Sandton,VIP,granted,source_export
CUST-000093,2024-01-28,Gauteng,Soweto,New,granted,source_export
CUST-000094,2024-03-24,Gauteng,Pretoria,New,denied,source_export
CUST-000095,2024-03-29,North West,Rustenburg,New,granted,source_export
CUST-000096,2024-06-12,Limpopo,Polokwane,New,granted,source_export
CUST-000097,2024-01-16,North West,Rustenburg,New,granted,source_export
CUST-000098,2024-02-06,Western Cape,Stellenbosch,New,granted,source_export
CUST-000099,2024-06-28,Gauteng,Johannesburg,New,granted,source_export
CUST-000100,2024-05-17,KwaZulu-Natal,Umhlanga,New,granted,source_export
CUST-000101,2024-05-08,Western Cape,Stellenbosch,New,granted,source_export
CUST-000102,2024-05-31,Western Cape,Paarl,New,denied,source_export
CUST-000103,2024-01-08,Gauteng,Sandton,New,granted,source_export
CUST-000104,2024-02-13,Western Cape,Paarl,VIP,granted,source_export
CUST-000105,2024-03-27,Gauteng,Sandton,Returning,denied,source_export
CUST-000106,2024-05-13,Western Cape,Stellenbosch,New,granted,source_export
CUST-000107,2024-05-01,KwaZulu-Natal,Pietermaritzburg,New,denied,source_export
CUST-000108,2024-06-02,Gauteng,Soweto,New,granted,source_export
CUST-000109,2024-06-06,Western Cape,George,Returning,granted,source_export
CUST-000110,2024-03-12,Gauteng,Johannesburg,New,granted,source_export
CUST-000111,2024-01-17,Western Cape,George,New,granted,source_export
CUST-000112,2024-04-21,Gauteng,Soweto,New,granted,source_export
CUST-000113,2024-03-19,Western Cape,Stellenbosch,Returning,granted,source_export
CUST-000114,2024-04-05,Limpopo,Polokwane,New,granted,source_export
CUST-000115,2024-04-10,Gauteng,Pretoria,New,granted,source_export
CUST-000116,2024-01-18,Western Cape,George,New,granted,source_export
CUST-000117,2024-03-05,Gauteng,Johannesburg,New,granted,source_export
CUST-000118,2024-03-25,Free State,Bloemfontein,New,granted,source_export
CUST-000119,2024-03-16,Gauteng,Soweto,Lapsed Reactivated,unknown,source_export
CUST-000120,2024-02-05,Western Cape,Cape Town,Lapsed Reactivated,denied,source_export
CUST-000121,2024-01-17,Gauteng,Sandton,Returning,granted,source_export
CUST-000122,2024-02-26,Free State,Bloemfontein,New,granted,source_export
CUST-000123,2024-05-16,KwaZulu-Natal,Durban,New,granted,source_export
CUST-000124,2024-03-23,Western Cape,Stellenbosch,New,granted,source_export
CUST-000125,2024-01-21,Western Cape,Cape Town,New,granted,source_export
CUST-000126,2024-04-30,Gauteng,Johannesburg,New,granted,source_export
CUST-000127,2024-05-19,North West,Rustenburg,New,granted,source_export
CUST-000128,2024-05-29,Gauteng,Sandton,New,denied,source_export
CUST-000129,2024-02-27,Western Cape,Stellenbosch,New,granted,source_export
CUST-000130,2024-03-16,Gauteng,Sandton,Returning,denied,source_export
CUST-000131,2024-02-04,North West,Rustenburg,New,granted,source_export
CUST-000132,2024-06-11,Gauteng,Sandton,New,granted,source_export
CUST-000133,2024-02-09,Western Cape,George,New,granted,source_export
CUST-000134,2024-04-14,Gauteng,Soweto,Returning,granted,source_export
CUST-000135,2024-04-11,KwaZulu-Natal,Durban,Returning,denied,source_export
CUST-000136,2024-03-12,Gauteng,Pretoria,Returning,denied,source_export
CUST-000137,2024-05-31,Limpopo,Polokwane,New,granted,source_export
CUST-000138,2024-03-28,Western Cape,Cape Town,New,granted,source_export
CUST-000139,2024-04-04,Gauteng,Pretoria,New,granted,source_export
CUST-000140,2024-01-23,Western Cape,Stellenbosch,New,granted,source_export
CUST-000141,2024-01-21,Gauteng,Johannesburg,New,granted,source_export
CUST-000142,2024-02-09,Western Cape,Cape Town,Returning,granted,source_export
CUST-000143,2024-04-26,Limpopo,Polokwane,Returning,denied,source_export
CUST-000144,2024-04-28,KwaZulu-Natal,Umhlanga,New,granted,source_export
CUST-000145,2024-01-11,Western Cape,Cape Town,New,granted,source_export
CUST-000146,2024-04-09,Gauteng,Pretoria,New,granted,source_export
CUST-000147,2024-02-17,Western Cape,Cape Town,New,granted,source_export
CUST-000148,2024-01-27,Western Cape,Cape Town,New,granted,source_export
CUST-000149,2024-06-29,Western Cape,Stellenbosch,Returning,granted,source_export
