order_item_id,order_id,product_id,sku,product_name,category,quantity,unit_price_zar,discount_zar,line_revenue_zar,gross_margin_pct,_source_note
ORD-2024-000001-ITEM-1,ORD-2024-000001,SKU-BED-002,SKU-BED-002,Luxury Throw Blanket,Bedroom,1,574.71,28.74,545.98,0.29,source_export
ORD-2024-000001-ITEM-2,ORD-2024-000001,SKU-HOME-004,SKU-HOME-004,Underbed Storage Bag,Home Organisation,1,198.99,9.95,189.04,0.43,source_export
ORD-2024-000002-ITEM-1,ORD-2024-000002,SKU-KIT-003,SKU-KIT-003,Digital Kitchen Scale,Kitchen,2,213.22,21.32,405.11,0.39,source_export
ORD-2024-000003-ITEM-1,ORD-2024-000003,SKU-LIFE-001,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,1,78.54,0.00,78.54,0.52,source_export
ORD-2024-000004-ITEM-1,ORD-2024-000004,SKU-KIT-001,SKU-KIT-001,Airtight Pantry Labels,Kitchen,1,86.06,4.30,81.76,0.55,source_export
ORD-2024-000005-ITEM-1,ORD-2024-000005,SKU-HOME-003,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,1,153.62,7.68,145.94,0.42,source_export
ORD-2024-000006-ITEM-1,ORD-2024-000006,SKU-HOME-003,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,1,168.33,0.00,168.33,0.42,source_export
ORD-2024-000007-ITEM-1,ORD-2024-000007,SKU-DEC-004,SKU-DEC-004,Linen Cushion Cover,Decor,2,151.84,0.00,303.67,0.36,source_export
ORD-2024-000008-ITEM-1,ORD-2024-000008,SKU-HOME-001,SKU-HOME-001,Bamboo Storage Set,Home Organisation,1,153.39,7.67,145.72,0.46,source_export
ORD-2024-000009-ITEM-1,ORD-2024-000009,SKU-WELL-001,SKU-WELL-001,Yoga Mat,Wellness,1,240.70,0.00,240.70,0.35,source_export
ORD-2024-000010-ITEM-1,ORD-2024-000010,SKU-LIFE-005,SKU-LIFE-005,Weekend Cooler Bag,Lifestyle,1,289.02,0.00,289.02,0.34,source_export
ORD-2024-000011-ITEM-1,ORD-2024-000011,SKU-HOME-004,SKU-HOME-004,Underbed Storage Bag,Home Organisation,1,176.20,8.81,167.39,0.43,source_export
ORD-2024-000012-ITEM-1,ORD-2024-000012,SKU-WORK-002,SKU-WORK-002,Cable Management Box,Workspace,1,183.16,0.00,183.16,0.41,source_export
