order_id,order_date,customer_id,attribution_channel,campaign_name,is_paid_attributed,order_subtotal_zar,discount_total_zar,shipping_fee_zar,order_total_zar,payment_method,order_status,_source_note
ORD-2024-000001,2024-01-20,CUST-002412,Organic Search,Organic,false,735.02,38.69,0.00,735.02,card,completed,source_export
ORD-2024-000002,2024-06-09,CUST-008482,Email,Lifecycle_Email,false,405.11,21.32,69.00,474.11,instant_eft,completed,source_export
ORD-2024-000003,2024-03-28,CUST-010240,Referral,Referral_Partners,false,78.54,0.00,59.00,137.54,card,completed,source_export
ORD-2024-000004,2024-01-12,CUST-005735,CM360,H1_Display_MidFunnel_Retail,true,81.76,4.30,49.00,130.76,card,completed,source_export
ORD-2024-000005,2024-01-28,CUST-008956,Organic Search,Organic,false,145.94,7.68,59.00,204.94,card,refunded,source_export
ORD-2024-000006,2024-03-27,CUST-001914,Referral,Referral_Partners,false,168.33,0.00,59.00,227.33,payflex,completed,source_export
ORD-2024-000007,2024-03-19,CUST-002139,Organic Search,Organic,false,303.67,0.00,49.00,352.67,instant_eft,refunded,source_export
ORD-2024-000008,2024-02-25,CUST-003596,Organic Search,Organic,false,145.72,7.67,59.00,204.72,instant_eft,completed,source_export
ORD-2024-000009,2024-03-19,CUST-005632,Referral,Referral_Partners,false,240.70,0.00,49.00,289.70,card,completed,source_export
ORD-2024-000010,2024-06-01,CUST-010114,Direct,Direct,false,289.02,0.00,49.00,338.02,card,completed,source_export
ORD-2024-000011,2024-04-03,CUST-005926,Referral,Referral_Partners,false,167.39,8.81,69.00,236.39,card,completed,source_export
ORD-2024-000012,2024-05-13,CUST-007082,Direct,Direct,false,421.02,0.00,49.00,470.02,wallet,completed,source_export
ORD-2024-000013,2024-03-05,CUST-002526,Direct,Direct,false,125.33,6.60,59.00,184.33,card,completed,source_export
ORD-2024-000014,2024-01-23,CUST-003202,Email,Lifecycle_Email,false,170.78,0.00,69.00,239.78,payflex,completed,source_export
ORD-2024-000015,2024-05-25,CUST-004175,CM360,H1_Display_MidFunnel_Retail,true,180.27,0.00,59.00,239.27,wallet,completed,source_export
ORD-2024-000016,2024-06-12,CUST-001787,Organic Search,Organic,false,140.37,0.00,49.00,189.37,card,completed,source_export
ORD-2024-000017,2024-05-14,CUST-002682,Organic Search,Organic,false,94.34,0.00,49.00,143.34,payflex,completed,source_export
ORD-2024-000018,2024-04-20,CUST-006580,Organic Search,Organic,false,154.65,0.00,59.00,213.65,card,completed,source_export
ORD-2024-000019,2024-04-01,CUST-004332,Direct,Direct,false,232.52,5.49,49.00,281.52,card,completed,source_export
ORD-2024-000020,2024-01-24,CUST-000875,Organic Search,Organic,false,185.85,0.00,69.00,254.85,wallet,completed,source_export
ORD-2024-000021,2024-05-22,CUST-006129,Organic Search,Organic,false,1561.85,15.78,0.00,1561.85,card,completed,source_export
ORD-2024-000022,2024-02-14,CUST-005368,Organic Search,Organic,false,371.63,0.00,59.00,430.63,instant_eft,completed,source_export
ORD-2024-000023,2024-04-26,CUST-009941,Direct,Direct,false,707.87,29.43,0.00,707.87,card,completed,source_export
