date,channel_id,video_id,video_title,country,device_type,traffic_source_type,views,watch_time_minutes,impressions,impressions_click_through_rate,likes,comments,estimated_revenue_usd
20-04-2024,UC32938197462,LX7JwBXzfR6,,za,TV,SUGGESTED,31026,,114879,0.0489,1764,1046,101.5306
10-12-2024,UC96811722494,sjTo1dVrFXq,Customer Testimonial,,,SUGGESTED,40332,1379.4,25074,,1393,1925,48.5884
"May 01, 2024",,U30mp9yb9ue,Customer Testimonial,ZA,DESKTOP,PLAYLIST,35249,81325.0,117735,,3213,,50.9042
2024-08-28,UC92846719870,-uJwTQC6PMc,Customer Testimonial,,DESKTOP,EXTERNAL,15525,980.7,91589,,2649,303,43.4873
"June 13, 2024",,rV6CpGlUx0x,How It Works,,DESKTOP,YT_SEARCH,88484,,675417,0.1725,13452,3819,95.3715
"September 04, 2024",UC17361657791,b1ai0bEDxFi,How It Works,,DESKTOP,SUGGESTED,78300,213211.7,283450,0.1667,4551,3636,253.8213
,UC97325869208,BFjiSrt3t1H,,south africa,TABLET,PLAYLIST,61111,179410.1,252365,0.0139,1065,2394,
20241216,UC43263785765,Wfzp9XzCc4V,,ZA,TV,YT_SEARCH,89105,180201.3,833945,0.2092,10869,1802,
20240616,UC49840823340,mOt0FVP99ao,,South Africa,MOBILE,EXTERNAL,92094,61438.4,89741,0.0381,1017,4366,430.7352
"June 22, 2024",UC61458305151,8SHXwuMf6t-,How It Works,rsa,TABLET,PLAYLIST,16393,32996.0,,0.1787,2026,688,69.462
2024-05-01,UC97894762899,OzFmhFqV7jB,,,UNKNOWN,EXTERNAL,75988,62632.1,689793,0.2221,13384,1494,184.7738
2024-09-22,UC43001733399,n1Mm6bjZ_Iu,,za,MOBILE,,26884,36436.3,177305,0.0216,,,82.1257
20240211,,79O2SI4eL9q,Product Demo,,,SUGGESTED,49809,9473.9,476378,0.0398,8335,,
20240207,UC91311098755,Fry1YTd9LLc,,South Africa,,,93090,230035.7,895504,0.0623,12728,,365.6197
