customer_id,province,customer_segment,consent_status,orders_h1,revenue_h1_zar,distinct_categories,recency_days,purchase_propensity_score,purchase_propensity_band,churn_risk_score,recommended_audience
CUST-000001,Western Cape,Returning,denied,1,263.88,1,74,0.0693,Low propensity,0.6939,Suppress from paid media
CUST-000002,Western Cape,Returning,granted,1,288.60,1,97,0.1133,Low propensity,0.6479,Suppress from paid media
CUST-000003,Western Cape,New,granted,1,275.93,1,31,0.3025,Medium propensity,0.3215,Email nurture
CUST-000004,Western Cape,New,granted,1,252.70,1,66,0.1471,Low propensity,0.6480,Suppress from paid media
CUST-000005,Western Cape,New,denied,1,145.10,1,140,0.0206,Low propensity,0.7553,Suppress from paid media
CUST-000006,Western Cape,New,granted,1,1155.37,2,130,0.2660,Medium propensity,0.4736,Email nurture
CUST-000007,North West,New,granted,2,652.76,3,51,0.3601,Medium propensity,0.3437,Email nurture
CUST-000008,Western Cape,Returning,denied,0,0.00,0,181,0.0100,Low propensity,0.7337,Suppress from paid media
CUST-000009,Free State,New,granted,0,0.00,0,181,0.0100,Low propensity,0.7751,Suppress from paid media
CUST-000010,KwaZulu-Natal,New,unknown,2,406.95,1,39,0.2569,Medium propensity,0.4043,Email nurture
CUST-000011,Western Cape,New,granted,2,465.98,2,69,0.3211,Medium propensity,0.4819,Email nurture
CUST-000012,Gauteng,New,unknown,1,385.99,1,131,0.1406,Low propensity,0.6150,Suppress from paid media
CUST-000013,Gauteng,New,granted,0,0.00,0,181,0.0100,Low propensity,0.7469,Suppress from paid media
CUST-000014,Limpopo,Returning,granted,2,1279.15,4,89,0.3279,Medium propensity,0.4337,Email nurture
CUST-000015,KwaZulu-Natal,New,denied,3,1689.91,6,64,0.3441,Medium propensity,0.4104,Email nurture
CUST-000016,Eastern Cape,New,granted,0,0.00,0,181,0.0100,Low propensity,0.7681,Suppress from paid media
CUST-000017,Eastern Cape,Returning,denied,1,196.35,1,126,0.0100,Low propensity,0.7553,Suppress from paid media
CUST-000018,Gauteng,New,granted,0,0.00,0,181,0.0100,Low propensity,0.7779,Suppress from paid media
CUST-000019,Western Cape,New,granted,2,369.23,2,81,0.3125,Medium propensity,0.4309,Email nurture
CUST-000020,North West,New,granted,3,1866.62,4,14,0.5674,High propensity,0.0438,Customer Match + Email
CUST-000021,KwaZulu-Natal,Returning,granted,1,1292.20,2,107,0.2526,Medium propensity,0.5509,Email nurture
CUST-000022,Gauteng,Returning,granted,3,1059.49,3,5,0.5391,High propensity,0.0199,Customer Match + Email
CUST-000023,Western Cape,Returning,granted,2,1170.98,3,107,0.3489,Medium propensity,0.4344,Email nurture
CUST-000024,Western Cape,New,denied,3,1050.70,3,20,0.4389,High propensity,0.1428,Customer Match + Email
CUST-000025,Western Cape,Lapsed Reactivated,granted,0,0.00,0,181,0.0100,Low propensity,0.7696,Suppress from paid media
CUST-000026,Western Cape,Returning,denied,2,758.73,3,45,0.2468,Medium propensity,0.4901,Email nurture
CUST-000027,Gauteng,Returning,granted,2,1425.08,5,42,0.4154,Medium propensity,0.2594,Email nurture
CUST-000028,Gauteng,New,granted,0,0.00,0,181,0.0100,Low propensity,0.7623,Suppress from paid media
CUST-000029,Western Cape,New,granted,1,258.70,1,127,0.1023,Low propensity,0.6525,Suppress from paid media
