customer_id,source_category,recommended_product_id,recommended_product_name,recommended_category,recommendation_score,expected_order_value_zar,activation_channel
CUST-000003,Home Essentials,SKU-KIT-003,Digital Kitchen Scale,Kitchen,0.3460,245.32,Email + onsite
CUST-000006,Outdoor,SKU-LIFE-001,Reusable Shopper Totes,Lifestyle,0.2988,72.29,Email + onsite
CUST-000007,Kitchen,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3694,212.28,Email + onsite
CUST-000010,Decor,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.2482,156.29,Onsite only
CUST-000011,Home Essentials,SKU-KIT-001,Airtight Pantry Labels,Kitchen,0.3212,94.67,Email + onsite
CUST-000014,Lifestyle,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3595,199.47,Email + onsite
CUST-000015,Home Organisation,SKU-KIT-005,Silicone Utensil Set,Kitchen,0.3462,132.63,Onsite only
CUST-000019,Lifestyle,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.3405,236.71,Email + onsite
CUST-000020,Workspace,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.5009,168.08,Email + onsite
CUST-000021,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.2772,141.17,Email + onsite
CUST-000022,Home Organisation,SKU-KIT-004,Copper Water Bottle,Kitchen,0.4790,168.31,Email + onsite
CUST-000023,Lifestyle,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.3033,143.19,Email + onsite
CUST-000024,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.4788,134.52,Onsite only
CUST-000026,Home Organisation,SKU-KIT-006,Reusable Food Wraps,Kitchen,0.2515,97.83,Onsite only
CUST-000027,Lifestyle,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.4549,168.70,Email + onsite
CUST-000031,Bedroom,SKU-BATH-001,Bath Towel Bundle,Bathroom,0.3146,439.56,Onsite only
CUST-000034,Bathroom,SKU-BED-001,Cotton Bedding Bundle,Bedroom,0.2543,933.56,Email + onsite
CUST-000044,Lifestyle,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.5024,204.56,Email + onsite
CUST-000045,Kitchen,SKU-HOME-001,Bamboo Storage Set,Home Organisation,0.4455,162.28,Email + onsite
CUST-000047,Home Essentials,SKU-KIT-001,Airtight Pantry Labels,Kitchen,0.3175,117.90,Email + onsite
CUST-000050,Kitchen,SKU-HOME-003,Foldable Laundry Basket,Home Organisation,0.5103,207.94,Onsite only
CUST-000051,Decor,SKU-HOME-004,Underbed Storage Bag,Home Organisation,0.2131,214.91,Onsite only
