touchpoint_id,order_id,customer_id,touchpoint_date,channel,campaign_name,attribution_model,attributed_conversion,view_through_flag
TP-000004,ORD-2024-000004,CUST-005735,2024-01-10,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000015,ORD-2024-000015,CUST-004175,2024-05-18,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000027,ORD-2024-000027,CUST-003315,2024-04-08,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000028,ORD-2024-000028,CUST-006936,2024-04-24,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000032,ORD-2024-000032,CUST-003359,2024-06-14,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000037,ORD-2024-000037,CUST-007961,2024-01-24,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000040,ORD-2024-000040,CUST-005745,2024-02-10,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000059,ORD-2024-000059,CUST-009568,2024-01-27,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000072,ORD-2024-000072,CUST-003948,2024-03-14,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000078,ORD-2024-000078,CUST-005133,2024-04-17,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000080,ORD-2024-000080,CUST-006645,2024-03-15,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000084,ORD-2024-000084,CUST-005051,2024-04-06,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000085,ORD-2024-000085,CUST-010123,2024-01-06,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000092,ORD-2024-000092,CUST-001626,2024-03-22,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000109,ORD-2024-000109,CUST-003621,2024-03-18,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000124,ORD-2024-000124,CUST-006478,2024-01-16,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000133,ORD-2024-000133,CUST-000185,2024-04-16,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000134,ORD-2024-000134,CUST-007964,2024-04-27,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000137,ORD-2024-000137,CUST-004547,2024-02-14,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000143,ORD-2024-000143,CUST-003139,2024-04-23,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000146,ORD-2024-000146,CUST-001149,2024-03-15,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000160,ORD-2024-000160,CUST-002918,2024-02-01,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000162,ORD-2024-000162,CUST-009435,2024-03-11,Youtube,H1_Video_Awareness_Retail,last_click,1,true
TP-000169,ORD-2024-000169,CUST-004139,2024-05-19,CM360,H1_Display_MidFunnel_Retail,last_click,1,false
TP-000170,ORD-2024-000170,CUST-008893,2024-06-11,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000178,ORD-2024-000178,CUST-004427,2024-04-17,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000179,ORD-2024-000179,CUST-004181,2024-04-06,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000182,ORD-2024-000182,CUST-006867,2024-04-13,DV360,H1_Programmatic_Prospecting_Retail,last_click,1,false
TP-000184,ORD-2024-000184,CUST-007124,2024-02-12,Google Ads,H1_Search_Core_Retail,last_click,1,false
TP-000187,ORD-2024-000187,CUST-007265,2024-02-28,Google Ads,H1_Search_Core_Retail,last_click,1,false
