customer_id,first_seen_date,province,city,customer_segment,consent_status
CUST-000001,2024-01-09,Western Cape,Stellenbosch,Returning,denied
CUST-000002,2024-04-28,Western Cape,Paarl,Returning,granted
CUST-000003,2024-06-30,Western Cape,Stellenbosch,New,granted
CUST-000004,2024-03-12,Western Cape,Cape Town,New,granted
CUST-000005,2024-04-23,Western Cape,Stellenbosch,New,denied
CUST-000006,2024-01-18,Western Cape,Cape Town,New,granted
CUST-000007,2024-04-23,North West,Rustenburg,New,granted
CUST-000008,2024-02-14,Western Cape,Stellenbosch,Returning,denied
CUST-000009,2024-04-13,Free State,Bloemfontein,New,granted
CUST-000010,2024-02-20,Kwazulu-Natal,Pietermaritzburg,New,unknown
CUST-000011,2024-06-19,Western Cape,Cape Town,New,granted
CUST-000012,2024-05-26,Gauteng,Pretoria,New,unknown
CUST-000013,2024-04-18,Gauteng,Sandton,New,granted
CUST-000014,2024-06-21,Limpopo,Polokwane,Returning,granted
CUST-000015,2024-02-15,Kwazulu-Natal,Pietermaritzburg,New,denied
CUST-000016,2024-04-30,Eastern Cape,Gqeberha,New,granted
CUST-000017,2024-02-20,Eastern Cape,Gqeberha,Returning,denied
CUST-000018,2024-03-18,Gauteng,Pretoria,New,granted
CUST-000019,2024-01-20,Western Cape,Paarl,New,granted
CUST-000020,2024-05-28,North West,Rustenburg,New,granted
CUST-000021,2024-01-31,Kwazulu-Natal,Pietermaritzburg,Returning,granted
CUST-000022,2024-05-06,Gauteng,Pretoria,Returning,granted
CUST-000023,2024-06-21,Western Cape,Cape Town,Returning,granted
CUST-000024,2024-01-27,Western Cape,Paarl,New,denied
CUST-000025,2024-03-11,Western Cape,George,Lapsed Reactivated,granted
CUST-000026,2024-02-08,Western Cape,George,Returning,denied
CUST-000027,2024-06-24,Gauteng,Soweto,Returning,granted
CUST-000028,2024-04-18,Gauteng,Pretoria,New,granted
CUST-000029,2024-01-28,Western Cape,Stellenbosch,New,granted
CUST-000030,2024-04-16,Western Cape,Paarl,New,unknown
CUST-000031,2024-01-17,Western Cape,George,New,denied
CUST-000032,2024-02-09,Western Cape,Cape Town,Returning,granted
CUST-000033,2024-06-22,Western Cape,Paarl,New,granted
CUST-000034,2024-06-05,Gauteng,Soweto,Returning,granted
CUST-000035,2024-02-02,Northern Cape,Kimberley,New,granted
CUST-000036,2024-03-29,Kwazulu-Natal,Umhlanga,New,granted
CUST-000037,2024-01-31,Gauteng,Soweto,New,denied
CUST-000038,2024-05-24,Western Cape,George,New,granted
CUST-000039,2024-03-18,Free State,Bloemfontein,New,granted
CUST-000040,2024-04-14,Western Cape,Stellenbosch,Returning,denied
CUST-000041,2024-06-15,Limpopo,Polokwane,New,granted
CUST-000042,2024-03-30,Gauteng,Johannesburg,Returning,granted
CUST-000043,2024-06-07,Gauteng,Pretoria,New,granted
CUST-000044,2024-03-14,Gauteng,Soweto,New,granted
CUST-000045,2024-04-03,Gauteng,Soweto,New,granted
CUST-000046,2024-03-25,Limpopo,Polokwane,New,granted
CUST-000047,2024-04-21,Free State,Bloemfontein,New,granted
CUST-000048,2024-04-16,Gauteng,Sandton,New,granted
CUST-000049,2024-06-20,Gauteng,Johannesburg,New,granted
CUST-000050,2024-01-28,Western Cape,Cape Town,Returning,denied
CUST-000051,2024-04-07,Gauteng,Sandton,Returning,unknown
CUST-000052,2024-03-25,Western Cape,Cape Town,Lapsed Reactivated,denied
CUST-000053,2024-05-30,North West,Rustenburg,Lapsed Reactivated,granted
CUST-000054,2024-05-04,Gauteng,Soweto,Returning,granted
CUST-000055,2024-02-05,Kwazulu-Natal,Umhlanga,New,granted
CUST-000056,2024-04-21,Gauteng,Pretoria,New,granted
CUST-000057,2024-03-13,Gauteng,Soweto,Returning,unknown
CUST-000058,2024-02-13,Mpumalanga,Nelspruit,New,denied
CUST-000059,2024-06-20,Kwazulu-Natal,Pietermaritzburg,New,unknown
CUST-000060,2024-03-22,Kwazulu-Natal,Durban,Returning,granted
CUST-000061,2024-05-19,Gauteng,Soweto,New,granted
CUST-000062,2024-06-20,Western Cape,Paarl,New,granted
CUST-000063,2024-04-21,Gauteng,Pretoria,New,granted
CUST-000064,2024-05-16,Gauteng,Pretoria,New,denied
