source_table,grain_id,reject_reason,raw_payload
products_raw,SKU-BAD-001,MISSING_PRODUCT_NAME,"{'product_id': 'SKU-BAD-001', 'sku': 'SKU-BAD-001', 'product_name': '', 'category': 'Decor', 'base_price_zar': '249.00', 'gross_margin_pct': '0.30', 'lead_campaign_channel': 'CM360', 'campaign_focus_flag': 'true', 'performance_group': 'worst_10', '_source_note': 'dirty_catalog_export'}"
products_raw,SKU-BAD-002,MISSING_PRODUCT_NAME,"{'product_id': 'SKU-BAD-002', 'sku': 'SKU-BAD-002', 'product_name': '', 'category': 'Kitchen', 'base_price_zar': '139.00', 'gross_margin_pct': '0.48', 'lead_campaign_channel': 'Organic Search', 'campaign_focus_flag': 'false', 'performance_group': 'supporting_catalog', '_source_note': 'dirty_catalog_export'}"
products_raw,SKU-BAD-003,MISSING_PRODUCT_NAME,"{'product_id': 'SKU-BAD-003', 'sku': 'SKU-BAD-003', 'product_name': '', 'category': 'Lifestyle', 'base_price_zar': '169.00', 'gross_margin_pct': '0.38', 'lead_campaign_channel': 'DV360', 'campaign_focus_flag': 'true', 'performance_group': 'worst_10', '_source_note': 'dirty_catalog_export'}"
products_raw,SKU-BAD-004,INVALID_BASE_PRICE,"{'product_id': 'SKU-BAD-004', 'sku': 'SKU-BAD-004', 'product_name': 'Pillow Protector Pair', 'category': 'Bedroom', 'base_price_zar': '-10', 'gross_margin_pct': '0.39', 'lead_campaign_channel': 'Email', 'campaign_focus_flag': 'false', 'performance_group': 'supporting_catalog', '_source_note': 'dirty_catalog_export'}"
products_raw,SKU-BAD-005,INVALID_BASE_PRICE,"{'product_id': 'SKU-BAD-005', 'sku': 'SKU-BAD-005', 'product_name': 'Ceramic Dinner Set', 'category': 'Kitchen', 'base_price_zar': '-10', 'gross_margin_pct': '0.34', 'lead_campaign_channel': 'CM360', 'campaign_focus_flag': 'true', 'performance_group': 'top_10', '_source_note': 'dirty_catalog_export'}"
products_raw,SKU-BATH-002,DUPLICATE_PRODUCT_ID,"{'product_id': 'SKU-BATH-002', 'sku': 'SKU-BATH-002', 'product_name': 'Soap Dispenser Set', 'category': 'Bathroom', 'base_price_zar': '129.00', 'gross_margin_pct': '0.44', 'lead_campaign_channel': 'Direct', 'campaign_focus_flag': 'false', 'performance_group': 'supporting_catalog', '_source_note': 'catalog_duplicate'}"
products_raw,SKU-BATH-001,DUPLICATE_PRODUCT_ID,"{'product_id': 'SKU-BATH-001', 'sku': 'SKU-BATH-001', 'product_name': 'Bath Towel Bundle', 'category': 'Bathroom', 'base_price_zar': '399.00', 'gross_margin_pct': '0.37', 'lead_campaign_channel': 'Google Ads', 'campaign_focus_flag': 'true', 'performance_group': 'top_10', '_source_note': 'catalog_duplicate'}"
products_raw,SKU-WORK-001,DUPLICATE_PRODUCT_ID,"{'product_id': 'SKU-WORK-001', 'sku': 'SKU-WORK-001', 'product_name': 'Desk Organiser', 'category': 'Workspace', 'base_price_zar': '249.00', 'gross_margin_pct': '0.43', 'lead_campaign_channel': 'DV360', 'campaign_focus_flag': 'true', 'performance_group': 'top_10', '_source_note': 'catalog_duplicate'}"
products_raw,SKU-KIT-006,DUPLICATE_PRODUCT_ID,"{'product_id': 'SKU-KIT-006', 'sku': 'SKU-KIT-006', 'product_name': 'Reusable Food Wraps', 'category': 'Kitchen', 'base_price_zar': '99.00', 'gross_margin_pct': '0.50', 'lead_campaign_channel': 'YouTube', 'campaign_focus_flag': 'false', 'performance_group': 'supporting_catalog', '_source_note': 'catalog_duplicate'}"
products_raw,SKU-OUT-001,DUPLICATE_PRODUCT_ID,"{'product_id': 'SKU-OUT-001', 'sku': 'SKU-OUT-001', 'product_name': 'Outdoor Beanbag', 'category': ' OUTDOOR ', 'base_price_zar': 'R 799.00', 'gross_margin_pct': '0.25', 'lead_campaign_channel': 'DV360', 'campaign_focus_flag': 'true', 'performance_group': 'worst_10', '_source_note': 'catalog_duplicate'}"
